,PaperId,PaperRank,Doi,DocType,PaperTitle,OriginalTitle,BookTitle,Year,Date,OnlineDate,Publisher,JournalId,ConferenceSeriesId,ConferenceInstanceId,Volume,Issue,FirstPage,LastPage,ReferenceCount,PaperCitationCount,EstimatedCitation,OriginalVenue,FamilyId,FamilyRank,N/A,CreatedDate,AuthorId,AffiliationId,AuthorSequenceNumber,OriginalAuthor,OriginalAffiliation,Rank,NormalizedName,DisplayName,LastKnownAffiliationId,PaperCount,AuthorCitationCount,Unknown,CreateDate
6,2030360026,17890,10.1162/00335530360535144,Journal,does market experience eliminate market anomalies,Does Market Experience Eliminate Market Anomalies,,2003,2003-02-01,,Oxford University Press,203860005.0,,,118.0,1.0,41,71.0,19,870,1334,Quarterly Journal of Economics,3122559857.0,17882.0,,2016-06-24,1673549770,66946132.0,1,John A. List,"Univ. of Maryland,#TAB#",12971,john a list,John A. List,40347166.0,833,470,27024,2016-06-24
7,3122744863,20513,10.2307/2946674,Journal,nominal wage stickiness and aggregate supply in the great depression,Nominal Wage Stickiness and Aggregate Supply in the Great Depression,,1996,1996-08-01,1996-01-01,Oxford University Press,203860005.0,,,111.0,3.0,853,883.0,10,125,247,Quarterly Journal of Economics,3122744863.0,20128.0,,2021-02-01,1455473529,20089843.0,1,Ben S. Bernanke,Princeton University,12152,ben s bernanke,Ben S. Bernanke,115283149.0,719,422,46416,2016-06-24
7,3122744863,20513,10.2307/2946674,Journal,nominal wage stickiness and aggregate supply in the great depression,Nominal Wage Stickiness and Aggregate Supply in the Great Depression,,1996,1996-08-01,1996-01-01,Oxford University Press,203860005.0,,,111.0,3.0,853,883.0,10,125,247,Quarterly Journal of Economics,3122744863.0,20128.0,,2021-02-01,3019714330,145608581.0,2,Kevin Carey,University of Miami*,16721,kevin carey,Kevin Carey,50186571.0,44,37,338,2020-05-01
8,1973624080,29728,10.2307/1884099,Journal,william benbow and the origin of the general strike,William Benbow and the Origin of the General Strike,,1921,1921-05-01,,Oxford University Press,203860005.0,,,35.0,3.0,491,499.0,0,1,1,Quarterly Journal of Economics,,,,2016-06-24,2744166994,136199984.0,1,Niles Carpenter,"Harvard University , ",20527,niles h carpenter,Niles H. Carpenter,136199984.0,2,2,1,2017-08-17
9,2287160381,25121,,Journal,a measurement and evaluation on the container and packaging recycling cost in local governments,A measurement and evaluation on the container and packaging recycling cost in local governments,,2007,2007-01-01,,関東学院大学経済研究所,203860005.0,,,230.0,,13,31.0,0,0,0,Quarterly Journal of Economics,,,,2016-06-24,2282329465,,1,松林 李,,21226,松林 李,松林 李,,1,1,0,2016-06-24
9,2287160381,25121,,Journal,a measurement and evaluation on the container and packaging recycling cost in local governments,A measurement and evaluation on the container and packaging recycling cost in local governments,,2007,2007-01-01,,関東学院大学経済研究所,203860005.0,,,230.0,,13,31.0,0,0,0,Quarterly Journal of Economics,,,,2016-06-24,2683993752,,2,八十五 安田,,21226,八十五 安田,八十五 安田,,1,1,0,2017-06-30
10,1997677640,23536,10.2307/1881721,Journal,reply risk interest rates and the forward exchange,"Reply — Risk, Interest Rates, and the Forward Exchange",,1975,1975-02-01,,Oxford University Press,203860005.0,,,89.0,1.0,173,175.0,0,16,16,Quarterly Journal of Economics,,,,2016-06-24,2144364482,40347166.0,1,Jeremy Siegel,University of Chicago (  ),14783,jeremy j siegel,Jeremy J. Siegel,79576946.0,55,53,2321,2016-06-24
11,2318142506,33704,10.2307/1884019,Journal,america s new commercial policy as illustrated by our commercial relations with brazil,America's New Commercial Policy as Illustrated by our Commercial Relations with Brazil,,1924,1924-02-01,,Oxford University Press,203860005.0,,,38.0,2.0,352,357.0,0,0,0,Quarterly Journal of Economics,,,,2016-06-24,2660275618,,1,W. S. Culbertson,"United States Tariff Commission, Washington",21226,w s culbertson,W. S. Culbertson,,1,1,0,2017-06-30
12,2315469615,32351,10.2307/1885241,Journal,five mill tax on moneys and credits in iowa,Five Mill Tax on Moneys and Credits in Iowa,,1916,1916-05-01,,Oxford University Press,203860005.0,,,30.0,3.0,588,595.0,0,0,0,Quarterly Journal of Economics,,,,2016-06-24,2318655762,173911158.0,1,John E. Brindley,"IOWA STATE COLLEGE, AMES, IOWA.",20533,john e brindley,John E. Brindley,173911158.0,2,2,0,2016-06-24
13,2041535623,25804,10.2307/1885704,Journal,potential pareto optimality of risky projects,Potential Pareto Optimality of Risky Projects,,1986,1986-08-01,,Oxford University Press,203860005.0,,,101.0,3.0,647,651.0,1,1,1,Quarterly Journal of Economics,,,,2016-06-24,1965834086,,1,Brendan O'Flaherty,,15870,brendan oflaherty,Brendan O'Flaherty,78577930.0,97,84,961,2016-06-24
14,2068636082,28640,10.2307/1884564,Journal,interregional payments reply,Interregional Payments: Reply,,1950,1950-08-01,,Oxford University Press,203860005.0,,,64.0,3.0,489,490.0,0,0,0,Quarterly Journal of Economics,,,,2016-06-24,2716567988,27804330.0,1,Penelope C. Hartland,Brown University,19927,penelope hartland,Penelope C. Hartland,27804330.0,2,2,15,2017-06-30
15,2004033111,34636,10.2307/1883107,Journal,private monopolies and public rights,Private Monopolies and Public Rights,,1886,1886-10-01,,Oxford University Press,203860005.0,,,1.0,1.0,28,44.0,0,9,9,Quarterly Journal of Economics,,,,2016-06-24,2721229910,,1,Arthur T. Hadley,,19314,arthur t hadley,Arthur T. Hadley,,5,5,14,2017-06-30
16,2315348022,25656,10.2307/1883018,Journal,comment on tobin rejoinder,[Comment on Tobin]: Rejoinder,,1970,1970-05-01,,,203860005.0,,,84.0,2.0,328,,0,7,7,Quarterly Journal of Economics,,,,2016-06-24,1508821818,,1,James Tobin,,12381,james tobin,James Tobin,32971472.0,320,289,26220,2016-06-24
17,2167051786,18204,10.1093/QJE/QJR002,Journal,identity morals and taboos beliefs as assets,"Identity, Morals, and Taboos: Beliefs as Assets",,2011,2011-05-01,2016-04-06,Oxford University Press,203860005.0,,,126.0,2.0,805,855.0,81,452,1004,Quarterly Journal of Economics,,,,2016-06-24,695037722,17866349.0,2,Jean Tirole,"Princeton University, NBER, CEPR, CIFAR, and IZA Toulouse School of Economics.",11727,jean tirole,Jean Tirole,17866349.0,548,396,76601,2016-06-24
17,2167051786,18204,10.1093/QJE/QJR002,Journal,identity morals and taboos beliefs as assets,"Identity, Morals, and Taboos: Beliefs as Assets",,2011,2011-05-01,2016-04-06,Oxford University Press,203860005.0,,,126.0,2.0,805,855.0,81,452,1004,Quarterly Journal of Economics,,,,2016-06-24,2275667347,17866349.0,1,Roland Bénabou,"Princeton University, NBER, CEPR, CIFAR, and IZA Toulouse School of Economics.",13472,roland benabou,Roland Bénabou,20089843.0,134,75,15687,2016-06-24
18,2023952229,29352,10.2307/1885401,Journal,the stabilization doctrines of carl snyder,The Stabilization Doctrines of Carl Snyder,,1935,1935-08-01,,Oxford University Press,203860005.0,,,49.0,4.0,600,620.0,0,0,0,Quarterly Journal of Economics,,,,2016-06-24,2670582288,205783295.0,1,Harold L. Reed,cornell University,20533,harold l reed,Harold L. Reed,205783295.0,2,2,0,2017-06-30
19,2112496919,21832,10.2307/1882270,Journal,on the cost of adjustment,On the Cost of Adjustment,,1971,1971-11-01,,Oxford University Press,203860005.0,,,85.0,4.0,605,622.0,0,148,300,Quarterly Journal of Economics,,,,2016-06-24,2102201377,136199984.0,1,Michael Rothschild,"Harvard University , ",12645,michael rothschild,Michael Rothschild,135310074.0,105,83,16268,2016-06-24
20,2071842832,28707,10.2307/1885247,Journal,the tariff 1929 30,"The Tariff, 1929–30",,1930,1930-02-01,,Oxford University Press,203860005.0,,,44.0,2.0,175,204.0,0,3,3,Quarterly Journal of Economics,,,,2016-06-24,2093135111,136199984.0,1,F. W. Taussig,"Harvard University , ",15950,f w taussig,Frank William Taussig,136199984.0,54,54,631,2016-06-24
21,2057912292,34205,10.2307/1882801,Journal,the present period of income tax activity in the american states,The Present Period of Income Tax Activity in the American States,,1909,1909-02-01,,Oxford University Press,203860005.0,,,23.0,2.0,296,306.0,0,2,2,Quarterly Journal of Economics,,,,2016-06-24,2679590915,,1,Delos O. Kinsman,,21101,delos o kinsman,Delos O. Kinsman,,1,1,2,2017-06-30
22,1999345262,28089,10.2307/1879460,Journal,schumpeter and underdeveloped countries comment,Schumpeter and Underdeveloped Countries: Comment,,1963,1963-11-01,,Oxford University Press,203860005.0,,,77.0,4.0,697,699.0,0,4,4,Quarterly Journal of Economics,,,,2016-06-24,2642880373,4498119.0,1,Richard C. Wiles,CONNECTICUT COLLEGE,21120,richard c wiles,Richard C. Wiles,4498119.0,1,1,4,2017-06-30
23,2110878382,28113,10.2307/1879548,Journal,short run efficiency and the organization of the electric power industry,Short-run Efficiency and the Organization of the Electric Power Industry,,1962,1962-12-01,,Oxford University Press,203860005.0,,,76.0,4.0,592,612.0,0,1,1,Quarterly Journal of Economics,,,,2016-06-24,2522699798,100538780.0,1,William R. Hughes, Wesleyan University.,21166,william r hughes,William R. Hughes,100538780.0,1,1,1,2016-09-30
24,2133721118,22805,10.2307/1879398,Journal,growth strategies in semi industrial countries,Growth Strategies in Semi-Industrial Countries,,1970,1970-02-01,,Oxford University Press,203860005.0,,,84.0,1.0,24,47.0,0,30,30,Quarterly Journal of Economics,,,,2016-06-24,2608176085,145311948.0,1,Bela Balassa,Johns Hopkins University,12943,bela balassa,Bela Balassa,145311948.0,229,193,15342,2017-05-05
25,2005671329,25228,10.2307/1881959,Journal,preobrazhenski and the economics of soviet industrialization,Preobrazhenski and the Economics of Soviet Industrialization,,1950,1950-02-01,,Oxford University Press,203860005.0,,,64.0,1.0,57,88.0,0,26,26,Quarterly Journal of Economics,,,,2016-06-24,2984892466,136199984.0,1,Alexander Erlich,Harvard University Russian Research Center ,19150,alexander erlich,Alexander Erlich,136199984.0,1,1,26,2019-11-22
26,1980302817,26930,10.2307/1884339,Journal,culbertson on interest structure comment,Culbertson on Interest Structure: Comment,,1958,1958-11-01,,Oxford University Press,203860005.0,,,72.0,4.0,601,606.0,0,0,0,Quarterly Journal of Economics,,,,2016-06-24,2273851109,32971472.0,1,L. S. Wehrle,Yale University,21226,l s wehrle,L. S. Wehrle,32971472.0,1,1,0,2016-06-24
27,2318349921,26405,10.2307/1884354,Journal,the erosion of marshall s theory of value comment,The Erosion of Marshall's Theory of Value: Comment,,1960,1960-11-01,,Oxford University Press,203860005.0,,,74.0,4.0,600,601.0,0,5,5,Quarterly Journal of Economics,,,,2016-06-24,2136383201,241749.0,1,D. H. Robertson,"Trinity College,Cambridge",15458,d h robertson,D. H. Robertson,241749.0,29,29,766,2016-06-24
28,2093600336,27142,10.2307/1882612,Journal,monopoly power and price rigidities,Monopoly Power and Price Rigidities,,1936,1936-05-01,,Oxford University Press,203860005.0,,,50.0,3.0,456,475.0,0,27,27,Quarterly Journal of Economics,,,,2016-06-24,2097049076,136199984.0,1,J. K. Galbraith,"Harvard University , ",14083,john kenneth galbraith,John Kenneth Galbraith,136199984.0,270,270,5455,2016-06-24
29,2031513199,26665,10.2307/1880519,Journal,the rationality of official intervention in the forward exchange market further comment,The Rationality of Official Intervention in the Forward Exchange Market: Further Comment,,1965,1965-02-01,,Oxford University Press,203860005.0,,,79.0,1.0,148,150.0,0,0,0,Quarterly Journal of Economics,,,,2016-06-24,2579472568,1174212.0,1,Richard Ward,University  of Southern California,20128,richard a ward,Richard A. Ward,1174212.0,3,3,0,2017-01-26
30,2066048693,22109,10.2307/2937871,Journal,aspects of r d subsidization,Aspects of R&D Subsidization,,1989,1989-11-01,,Oxford University Press,203860005.0,,,104.0,4.0,863,873.0,2,36,84,Quarterly Journal of Economics,,,,2016-06-24,2098214589,33213144.0,1,Richard E. Romano,University of Florida,14991,richard romano,Richard Romano,33213144.0,78,56,3523,2016-06-24
31,1965273326,26547,10.2307/1882223,Journal,classical loanable fund and keynesian interest theories,"Classical, Loanable-Fund, and Keynesian Interest Theories",,1951,1951-08-01,,Oxford University Press,203860005.0,,,65.0,3.0,429,432.0,0,5,5,Quarterly Journal of Economics,,,,2016-06-24,2626122167,136199984.0,1,Alvin H. Hansen,"Harvard University , ",19747,alvin h hansen,Alvin H. Hansen,136199984.0,3,3,8,2017-06-23
32,2064356631,37220,10.2307/1881892,Journal,double taxation of mortgaged real estate,Double Taxation of Mortgaged Real Estate,,1890,1890-04-01,,Oxford University Press,203860005.0,,,4.0,3.0,339,345.0,0,0,0,Quarterly Journal of Economics,,,,2016-06-24,2314130906,,1,Nathan Matthews,,21226,nathan matthews,Nathan Matthews,,1,1,0,2016-06-24
33,2050283977,37419,10.2307/1881855,Journal,the australian tariff experiment,The Australian Tariff Experiment,,1888,1888-10-01,,Oxford University Press,203860005.0,,,3.0,1.0,87,98.0,0,0,0,Quarterly Journal of Economics,,,,2016-06-24,2496358872,,1,Fred. Perry Powers,,19840,fred perry powers,Fred. Perry Powers,,4,4,0,2016-08-23
34,2143840669,19441,10.1162/0033553053327506,Journal,profit sharing and the role of professional partnerships,Profit Sharing and the Role of Professional Partnerships,,2005,2005-02-01,,Oxford University Press,203860005.0,,,120.0,1.0,131,171.0,22,185,279,Quarterly Journal of Economics,2143840669.0,19161.0,,2016-06-24,2241841031,97018004.0,2,Steven Tadelis,Stanford University (),14381,steven tadelis,Steven Tadelis,95457486.0,110,59,4623,2016-06-24
34,2143840669,19441,10.1162/0033553053327506,Journal,profit sharing and the role of professional partnerships,Profit Sharing and the Role of Professional Partnerships,,2005,2005-02-01,,Oxford University Press,203860005.0,,,120.0,1.0,131,171.0,22,185,279,Quarterly Journal of Economics,2143840669.0,19161.0,,2016-06-24,2526172747,97018004.0,1,Jonathan Levin,Stanford University (),14416,jonathan levin,Jonathan Levin,97018004.0,153,93,6011,2016-10-07
35,2164831243,21626,10.2307/2937909,Journal,a test of the theory of exhaustible resources,A Test of the Theory of Exhaustible Resources,,1991,1991-02-01,,Oxford University Press,203860005.0,,,106.0,1.0,123,140.0,3,101,150,Quarterly Journal of Economics,2164831243.0,21488.0,,2016-06-24,2579865081,201448701.0,1,Robert Halvorsen,University of Washington ;,15423,robert halvorsen,Robert Halvorsen,201448701.0,24,21,1633,2017-01-26
35,2164831243,21626,10.2307/2937909,Journal,a test of the theory of exhaustible resources,A Test of the Theory of Exhaustible Resources,,1991,1991-02-01,,Oxford University Press,203860005.0,,,106.0,1.0,123,140.0,3,101,150,Quarterly Journal of Economics,2164831243.0,21488.0,,2016-06-24,2681006739,84318336.0,2,Tim R. Smith,Federal Reserve Bank of Kansas City#TAB#,17594,tim r smith,Tim R. Smith,84318336.0,8,6,237,2017-06-30
36,2091348235,25967,10.2307/1883014,Journal,tastes trade and the comparison of structural interdependence,"Tastes, Trade, and the Comparison of Structural Interdependence",,1970,1970-05-01,,Oxford University Press,203860005.0,,,84.0,2.0,279,287.0,0,2,2,Quarterly Journal of Economics,,,,2016-06-24,2475982327,197251160.0,1,Ephraim Kleiman,"Hebrew University, Jerusalem University of Pennsylvania",15733,ephraim kleiman,Ephraim Kleiman,197251160.0,28,27,316,2016-08-23
37,2085035640,26153,10.2307/1883829,Journal,professor lutz and the structure of interest rates,Professor Lutz and the Structure of Interest Rates,,1959,1959-02-01,,Oxford University Press,203860005.0,,,73.0,1.0,131,144.0,0,4,4,Quarterly Journal of Economics,,,,2016-06-24,2010918735,173911158.0,1,Dudley G. Luckett,"Iowa State College , ",17772,dudley g luckett,Dudley G. Luckett,173911158.0,9,9,133,2016-06-24
38,2335433514,29104,10.2307/1883867,Journal,national income 1929 32,"National Income, 1929–32",,1935,1935-05-01,,Oxford University Press,203860005.0,,,49.0,3.0,508,517.0,0,8,8,Quarterly Journal of Economics,,,,2016-06-24,2590919781,,1,W. L. Crum,,20470,w l crum,W. L. Crum,,1,1,8,2017-03-03
39,2069404873,24659,10.12775/EQUIL2011.004,Journal,creativity as a factor for socio economic development of polish regions,Creativity as a Factor for Socio-Economic Development of Polish Regions,,2011,2011-03-01,2011-03-31,Institute of Economic Research,2738413198.0,,,6.0,1.0,71,84.0,3,0,0,Equilibrium. Quarterly Journal of Economics and Economic Policy,,,,2016-06-24,13162959,119233137.0,1,Maria Kola-Bezka,Nicolaus Copernicus University#TAB# in Torun,17714,maria kolabezka,Maria Kola-Bezka,3019271933.0,30,30,40,2016-06-24
40,2164815269,33301,10.2307/1884005,Journal,the classification of public revenues,The Classification of Public Revenues,,1893,1893-04-01,,Oxford University Press,203860005.0,,,7.0,3.0,286,321.0,0,4,4,Quarterly Journal of Economics,,,,2016-06-24,2282270308,78577930.0,1,Edwin Robert Anderson Seligman,"Columbia College, New York",15107,edwin r a seligman,Edwin R. A. Seligman,78577930.0,127,125,1195,2016-06-24
41,2049572708,27575,10.2307/1883031,Journal,the production function for australian manufacturing,The Production Function for Australian Manufacturing,,1941,1941-11-01,,Oxford University Press,203860005.0,,,56.0,1.0,108,129.0,0,4,4,Quarterly Journal of Economics,,,,2016-06-24,2096106172,40347166.0,2,Paul H. Douglas,University of Chicago (  ),14708,paul h douglas,Paul H. Douglas,40347166.0,115,115,2622,2016-06-24
41,2049572708,27575,10.2307/1883031,Journal,the production function for australian manufacturing,The Production Function for Australian Manufacturing,,1941,1941-11-01,,Oxford University Press,203860005.0,,,56.0,1.0,108,129.0,0,4,4,Quarterly Journal of Economics,,,,2016-06-24,2157524305,40347166.0,1,Grace T. Gunn,University of Chicago (  ),17334,grace t gunn,Grace T. Gunn,40347166.0,3,3,25,2016-06-24
42,2151213359,19591,10.1093/QJE/QJR039,Journal,learning by drilling interfirm learning and relationship persistence in the texas oilpatch,Learning by Drilling: Interfirm Learning and Relationship Persistence in the Texas Oilpatch,,2011,2011-11-01,2008-01-09,Oxford University Press,203860005.0,,,126.0,4.0,1961,2004.0,41,81,189,Quarterly Journal of Economics,,,,2016-06-24,2331023589,1321305853.0,1,Ryan M Kellogg,"Department of Economics, University of Michigan, and National Bureau of Economic Research",16173,ryan kellogg,Ryan Kellogg,40347166.0,64,33,1009,2016-06-24
43,2033615651,19995,10.1093/QJE/QJR056,Journal,incentives and the de soto effect,Incentives and the De Soto Effect,,2012,2012-02-01,2012-01-12,Oxford University Press,203860005.0,,,127.0,1.0,237,282.0,39,72,138,Quarterly Journal of Economics,,,,2016-06-24,523865281,109736498.0,1,Timothy J. Besley,London School of Economics and Canadian Institute for Advanced Research,12745,timothy besley,Timothy Besley,909854389.0,459,330,30371,2016-06-24
43,2033615651,19995,10.1093/QJE/QJR056,Journal,incentives and the de soto effect,Incentives and the De Soto Effect,,2012,2012-02-01,2012-01-12,Oxford University Press,203860005.0,,,127.0,1.0,237,282.0,39,72,138,Quarterly Journal of Economics,,,,2016-06-24,1780997049,909854389.0,3,Maitreesh Ghatak,London  School of Economics,14542,maitreesh ghatak,Maitreesh Ghatak,909854389.0,180,127,6198,2016-06-24
43,2033615651,19995,10.1093/QJE/QJR056,Journal,incentives and the de soto effect,Incentives and the De Soto Effect,,2012,2012-02-01,2012-01-12,Oxford University Press,203860005.0,,,127.0,1.0,237,282.0,39,72,138,Quarterly Journal of Economics,,,,2016-06-24,2224953677,,2,Konrad B. Burchardi,Institute for International Economic Studies,17241,konrad b burchardi,Konrad B. Burchardi,161593684.0,28,15,312,2016-06-24
44,2076223105,23122,10.2307/1885698,Journal,export performance and export import linkage requirements,Export Performance and Export-Import Linkage Requirements,,1986,1986-08-01,,Oxford University Press,203860005.0,,,101.0,3.0,591,607.0,4,11,11,Quarterly Journal of Economics,,,,2016-06-24,2167363193,2613432.0,2,Christopher R. Thomas,University of South Florida,17753,christopher r thomas,Christopher R. Thomas,2613432.0,19,18,176,2016-06-24
44,2076223105,23122,10.2307/1885698,Journal,export performance and export import linkage requirements,Export Performance and Export-Import Linkage Requirements,,1986,1986-08-01,,Oxford University Press,203860005.0,,,101.0,3.0,591,607.0,4,11,11,Quarterly Journal of Economics,,,,2016-06-24,2285975839,2613432.0,1,Mark G. Herander,University of South Florida,17251,mark g herander,Mark G. Herander,2613432.0,17,17,309,2016-06-24
45,1983324501,26889,10.2307/1884313,Journal,re examination of the speculative demand for money comment,Re-examination of the Speculative Demand for Money: Comment,,1959,1959-11-01,,Oxford University Press,203860005.0,,,73.0,4.0,686,691.0,0,2,2,Quarterly Journal of Economics,,,,2016-06-24,2506983867,219193219.0,1,George Horwich,PURDUE UNIVERSITY.,19239,george horwich,George Horwich,219193219.0,5,5,13,2016-08-23
46,2972567710,22768,10.4324/9780203847572-33,,the socialist economics of karl marx and his followers parts i and ii 1906 07 source quarterly journal of economics august 1906 vol 20 veblen 1906b 1907a,"The socialist economics of Karl Marx and his followers, Parts I and II (1906–07) : Source:Quarterly Journal of Economics, August 1906 (vol. 20, Veblen (1906b, 1907a)",,2010,2010-12-14,,Routledge,,,,,,381,393.0,0,3,3,,,,,2019-09-19,2096318787,,2,Geoffrey M Hodgson,,13721,geoffrey m hodgson,Geoffrey M. Hodgson,143804889.0,481,451,16639,2016-06-24
46,2972567710,22768,10.4324/9780203847572-33,,the socialist economics of karl marx and his followers parts i and ii 1906 07 source quarterly journal of economics august 1906 vol 20 veblen 1906b 1907a,"The socialist economics of Karl Marx and his followers, Parts I and II (1906–07) : Source:Quarterly Journal of Economics, August 1906 (vol. 20, Veblen (1906b, 1907a)",,2010,2010-12-14,,Routledge,,,,,,381,393.0,0,3,3,,,,,2019-09-19,2102277786,,1,Charles Camic,,15552,charles camic,Charles Camic,135310074.0,109,109,1621,2016-06-24
47,2081968586,32362,10.2307/1884490,Journal,a division among theorists in their analysis of profits,A Division Among Theorists in Their Analysis of Profits,,1919,1919-11-01,,Oxford University Press,203860005.0,,,34.0,1.0,114,137.0,0,0,0,Quarterly Journal of Economics,,,,2016-06-24,2686363492,63135867.0,1,C. J. Foreman,University of Cincinnati**,21226,c j foreman,C. J. Foreman,63135867.0,1,1,0,2017-06-30
48,1981796196,28513,10.2307/1885171,Journal,partial elasticity of demand,Partial Elasticity of Demand,,1926,1926-05-01,,Oxford University Press,203860005.0,,,40.0,3.0,393,401.0,0,15,15,Quarterly Journal of Economics,,,,2016-06-24,2578231187,78577930.0,1,Henry Ludwell Moore,Columbia University ,16424,henry ludwell moore,Henry Ludwell Moore,78577930.0,13,13,144,2017-01-26
49,2017635093,24345,10.2307/1884307,Journal,state and regional payments mechanisms,State and Regional Payments Mechanisms,,1959,1959-11-01,,Oxford University Press,203860005.0,,,73.0,4.0,619,632.0,0,64,96,Quarterly Journal of Economics,,,,2016-06-24,2667828070,114027177.0,1,James C. Ingram,University of North Carolina,18858,james c ingram,James C. Ingram,114027177.0,2,2,66,2017-06-30
