,PaperId,PaperRank,Doi,DocType,PaperTitle,OriginalTitle,BookTitle,Year,Date,OnlineDate,Publisher,JournalId,ConferenceSeriesId,ConferenceInstanceId,Volume,Issue,FirstPage,LastPage,ReferenceCount,PaperCitationCount,EstimatedCitation,OriginalVenue,FamilyId,FamilyRank,N/A,CreatedDate,AuthorId,AffiliationId,AuthorSequenceNumber,OriginalAuthor,OriginalAffiliation,Rank,NormalizedName,DisplayName,LastKnownAffiliationId,PaperCount,AuthorCitationCount,Unknown,CreateDate
6,1995953073,19561,10.1086/261386,Journal,what do we really know about wages the importance of nonreporting and census imputation,What Do We Really Know about Wages? The Importance of Nonreporting and Census Imputation,,1986,1986-06-01,,The University of Chicago Press,95323914.0,,,94.0,3.0,489.0,506.0,0,164,247,Journal of Political Economy,2234959390.0,19554.0,,2016-06-24,2160592704.0,,3.0,Finis Welch,,13464.0,finis welch,Finis Welch,91045830.0,113.0,97.0,7766.0,2016-06-24
6,1995953073,19561,10.1086/261386,Journal,what do we really know about wages the importance of nonreporting and census imputation,What Do We Really Know about Wages? The Importance of Nonreporting and Census Imputation,,1986,1986-06-01,,The University of Chicago Press,95323914.0,,,94.0,3.0,489.0,506.0,0,164,247,Journal of Political Economy,2234959390.0,19554.0,,2016-06-24,2579805337.0,,1.0,Lee Lillard,,14002.0,lee a lillard,Lee A. Lillard,1309849503.0,120.0,91.0,6553.0,2017-01-26
6,1995953073,19561,10.1086/261386,Journal,what do we really know about wages the importance of nonreporting and census imputation,What Do We Really Know about Wages? The Importance of Nonreporting and Census Imputation,,1986,1986-06-01,,The University of Chicago Press,95323914.0,,,94.0,3.0,489.0,506.0,0,164,247,Journal of Political Economy,2234959390.0,19554.0,,2016-06-24,2598019244.0,,2.0,James P. Smith,,13023.0,j c smith,James C. Smith,2801081054.0,485.0,464.0,29723.0,2017-04-07
7,2565225599,21472,10.1086/704610,Journal,the political economy of weak treaties,The Political Economy of Weak Treaties,,2020,2020-01-16,2016-12-01,University of Chicago Press,95323914.0,,,128.0,2.0,544.0,590.0,0,7,7,Journal of Political Economy,2565225599.0,20220.0,,2017-01-06,2119038958.0,,1.0,Marco Battaglini,,14970.0,marco battaglini,Marco Battaglini,205783295.0,143.0,70.0,2360.0,2016-06-24
7,2565225599,21472,10.1086/704610,Journal,the political economy of weak treaties,The Political Economy of Weak Treaties,,2020,2020-01-16,2016-12-01,University of Chicago Press,95323914.0,,,128.0,2.0,544.0,590.0,0,7,7,Journal of Political Economy,2565225599.0,20220.0,,2017-01-06,2166406133.0,,2.0,Bård Harstad,,16234.0,bard harstad,Bård Harstad,184942183.0,75.0,43.0,998.0,2016-06-24
8,3124142480,20259,10.1086/342807,Journal,employed 40 hours or not employed 39 lessons from the 1982 mandatory reduction of the workweek,Employed 40 Hours or Not-Employed 39: Lessons from the 1982 Mandatory Reduction of the Workweek,,2002,2002-12-01,,The University of Chicago Press,95323914.0,,,110.0,6.0,1355.0,1389.0,21,76,201,Journal of Political Economy,3124142480.0,19749.0,,2021-02-01,159280313.0,,1.0,Bruno Crépon,,14612.0,bruno crepon,Bruno Crépon,84009706.0,182.0,129.0,4036.0,2016-06-24
8,3124142480,20259,10.1086/342807,Journal,employed 40 hours or not employed 39 lessons from the 1982 mandatory reduction of the workweek,Employed 40 Hours or Not-Employed 39: Lessons from the 1982 Mandatory Reduction of the Workweek,,2002,2002-12-01,,The University of Chicago Press,95323914.0,,,110.0,6.0,1355.0,1389.0,21,76,201,Journal of Political Economy,3124142480.0,19749.0,,2021-02-01,290542363.0,197518295.0,2.0,Francis Kramarz,IZA-Institute of Labor Economics,13896.0,francis kramarz,Francis Kramarz,84009706.0,249.0,173.0,8148.0,2016-06-24
9,3125499605,22029,10.1016/J.EJPOLECO.2010.11.007,Journal,non partisan get out the vote efforts and policy outcomes,Non-partisan 'get-out-the-vote' efforts and policy outcomes,,2011,2011-12-01,2011-04-07,Berlin: Wissenschaftszentrum Berlin für Sozialforschung (WZB),100134864.0,,,27.0,4.0,728.0,739.0,55,2,2,European Journal of Political Economy,3125499605.0,20230.0,,2021-02-01,2408729461.0,219193219.0,2.0,Brian Roberson,"Department of Economics Krannert School of Management, Purdue University USA",16172.0,brian roberson,Brian Roberson,219193219.0,56.0,33.0,930.0,2016-06-24
9,3125499605,22029,10.1016/J.EJPOLECO.2010.11.007,Journal,non partisan get out the vote efforts and policy outcomes,Non-partisan 'get-out-the-vote' efforts and policy outcomes,,2011,2011-12-01,2011-04-07,Berlin: Wissenschaftszentrum Berlin für Sozialforschung (WZB),100134864.0,,,27.0,4.0,728.0,739.0,55,2,2,European Journal of Political Economy,3125499605.0,20230.0,,2021-02-01,2683889562.0,126307644.0,1.0,Dan Kovenock,"Department of Economics, Tippie College of Business, University of Iowa, USA",14545.0,dan kovenock,Dan Kovenock,185071736.0,176.0,98.0,4875.0,2017-06-30
10,3125631287,19210,10.1016/S0176-2680(01)00054-4,Journal,corruption and military spending,Corruption and military spending,,2001,2001-11-01,2001-09-25,INTERNATIONAL MONETARY FUND,100134864.0,,,17.0,4.0,749.0,777.0,36,319,560,European Journal of Political Economy,3125631287.0,19037.0,,2021-02-01,2434140383.0,1310145890.0,1.0,Sanjeev Gupta,"Fiscal Affairs Department, International Monetary Fund, 700 19th Street, NW, Washington, DC 20431, USA",14059.0,sanjeev gupta,Sanjeev Gupta,1319597252.0,308.0,258.0,8243.0,2016-06-24
10,3125631287,19210,10.1016/S0176-2680(01)00054-4,Journal,corruption and military spending,Corruption and military spending,,2001,2001-11-01,2001-09-25,INTERNATIONAL MONETARY FUND,100134864.0,,,17.0,4.0,749.0,777.0,36,319,560,European Journal of Political Economy,3125631287.0,19037.0,,2021-02-01,2578604742.0,1310145890.0,3.0,Raju Sharan,"Fiscal Affairs Department, International Monetary Fund, 700 19th Street, NW, Washington, DC 20431, USA",17684.0,raju sharan,Raju Sharan,1310145890.0,3.0,1.0,355.0,2017-01-26
10,3125631287,19210,10.1016/S0176-2680(01)00054-4,Journal,corruption and military spending,Corruption and military spending,,2001,2001-11-01,2001-09-25,INTERNATIONAL MONETARY FUND,100134864.0,,,17.0,4.0,749.0,777.0,36,319,560,European Journal of Political Economy,3125631287.0,19037.0,,2021-02-01,2666715171.0,1310145890.0,2.0,Luiz de Mello,"Fiscal Affairs Department, International Monetary Fund, 700 19th Street, NW, Washington, DC 20431, USA",15923.0,luiz r de mello,Luiz R. de Mello,1310145890.0,24.0,17.0,1964.0,2017-06-30
11,3125717435,20083,10.1086/324387,Journal,the role of leasing under adverse selection,The Role of Leasing under Adverse Selection,,2002,2002-02-01,2016-03-19,University of Chicago,95323914.0,,,110.0,1.0,113.0,143.0,21,123,216,Journal of Political Economy,3125717435.0,19874.0,,2021-02-01,40539028.0,1321305853.0,2.0,Alessandro Lizzeri,National Bureau of Economic Research,15176.0,alessandro lizzeri,Alessandro Lizzeri,57206974.0,72.0,44.0,3084.0,2016-06-24
11,3125717435,20083,10.1086/324387,Journal,the role of leasing under adverse selection,The Role of Leasing under Adverse Selection,,2002,2002-02-01,2016-03-19,University of Chicago,95323914.0,,,110.0,1.0,113.0,143.0,21,123,216,Journal of Political Economy,3125717435.0,19874.0,,2021-02-01,2089095713.0,1321305853.0,1.0,Igal Hendel,National Bureau of Economic Research,15153.0,igal hendel,Igal Hendel,111979921.0,73.0,45.0,2653.0,2016-06-24
12,3211395315,23372,10.1086/718200,Journal,cause and effect in political polarization a dynamic analysis,Cause and Effect in Political Polarization: A Dynamic Analysis,,2021,2021-11-15,2021-11-15,University of Chicago Press,95323914.0,,,,,,,0,0,0,Journal of Political Economy,3211395315.0,21776.0,,2021-11-22,2125915602.0,,2.0,Juan Carlos Carbajal,,17989.0,juan carlos carbajal,Juan Carlos Carbajal,31746571.0,17.0,11.0,119.0,2016-06-24
12,3211395315,23372,10.1086/718200,Journal,cause and effect in political polarization a dynamic analysis,Cause and Effect in Political Polarization: A Dynamic Analysis,,2021,2021-11-15,2021-11-15,University of Chicago Press,95323914.0,,,,,,,0,0,0,Journal of Political Economy,3211395315.0,21776.0,,2021-11-22,2170882167.0,,1.0,Steven Callander,,16442.0,steven callander,Steven Callander,97018004.0,39.0,31.0,993.0,2016-06-24
13,2511241608,32402,10.1086/254770,Journal,the federal debt 1919 1930 a chapter in american public finance henry george handricks,"The Federal Debt, 1919-1930: A Chapter in American Public Finance. Henry George Handricks",,1935,1935-04-01,,,95323914.0,,,43.0,2.0,270.0,270.0,0,0,0,Journal of Political Economy,,,,2016-09-16,2509649556.0,,1.0,H. L. Lutz,,21226.0,h l lutz,H. L. Lutz,,1.0,1.0,0.0,2016-09-16
14,2517122364,34263,10.1086/252443,Journal,concentration and control charles r van hise,Concentration and Control. Charles R. Van Hise,,1914,1914-04-01,,,95323914.0,,,22.0,4.0,400.0,401.0,0,0,0,Journal of Political Economy,,,,2016-09-16,2689703998.0,,1.0,Allyn A. Young,,19235.0,allyn a young,Allyn A. Young,,5.0,5.0,9.0,2017-06-30
15,2360520047,21238,10.1111/SJPE.12110,Journal,it takes two to tango a regime switching analysis of the correlation dynamics between the mainland chinese and hong kong stock markets,It takes two to tango: A regime-switching analysis of the correlation dynamics between the mainland Chinese and Hong Kong stock markets,,2016,2016-02-01,2016-01-16,"John Wiley & Sons, Ltd (10.1111)",111496547.0,,,63.0,1.0,41.0,65.0,39,9,9,Scottish Journal of Political Economy,,,,2016-06-24,2155802296.0,12079687.0,3.0,Zhaoyong Zhang,(Edith Cowan University),15851.0,zhaoyong zhang,Zhaoyong Zhang,12079687.0,148.0,131.0,844.0,2016-06-24
15,2360520047,21238,10.1111/SJPE.12110,Journal,it takes two to tango a regime switching analysis of the correlation dynamics between the mainland chinese and hong kong stock markets,It takes two to tango: A regime-switching analysis of the correlation dynamics between the mainland Chinese and Hong Kong stock markets,,2016,2016-02-01,2016-01-16,"John Wiley & Sons, Ltd (10.1111)",111496547.0,,,63.0,1.0,41.0,65.0,39,9,9,Scottish Journal of Political Economy,,,,2016-06-24,2167457014.0,118347636.0,2.0,Yanlin Shi,[The Australian National University],16933.0,yanlin shi,Yanlin Shi,99043593.0,61.0,53.0,296.0,2016-06-24
15,2360520047,21238,10.1111/SJPE.12110,Journal,it takes two to tango a regime switching analysis of the correlation dynamics between the mainland chinese and hong kong stock markets,It takes two to tango: A regime-switching analysis of the correlation dynamics between the mainland Chinese and Hong Kong stock markets,,2016,2016-02-01,2016-01-16,"John Wiley & Sons, Ltd (10.1111)",111496547.0,,,63.0,1.0,41.0,65.0,39,9,9,Scottish Journal of Political Economy,,,,2016-06-24,2910016198.0,118347636.0,1.0,Kin Yip Ho,[The Australian National University],18092.0,kin yip ho,Kin Yip Ho,118347636.0,16.0,14.0,149.0,2019-01-25
16,2516473726,31156,10.1086/256622,Journal,social research on health otis durant duncan,Social Research on Health. Otis Durant Duncan,,1947,1947-12-01,,,95323914.0,,,55.0,6.0,579.0,580.0,0,0,0,Journal of Political Economy,,,,2016-09-16,2640177169.0,,1.0,C. Horace Hamilton,,21226.0,c horace hamilton,C. Horace Hamilton,,1.0,1.0,0.0,2017-06-30
17,3107566885,19219,10.1086/712733,Journal,securing property rights,Securing property rights,,2021,2021-02-24,2016-09-01,University of Chicago Press,95323914.0,,,129.0,4.0,1157.0,1192.0,0,4,4,Journal of Political Economy,,,,2020-12-07,130401764.0,,3.0,Giacomo A. M. Ponzetto,,15883.0,giacomo a m ponzetto,Giacomo A. M. Ponzetto,170486558.0,76.0,41.0,1403.0,2016-06-24
17,3107566885,19219,10.1086/712733,Journal,securing property rights,Securing property rights,,2021,2021-02-24,2016-09-01,University of Chicago Press,95323914.0,,,129.0,4.0,1157.0,1192.0,0,4,4,Journal of Political Economy,,,,2020-12-07,622018538.0,,2.0,Edward L. Glaeser,,12068.0,edward l glaeser,Edward L. Glaeser,136199984.0,655.0,355.0,53166.0,2016-06-24
17,3107566885,19219,10.1086/712733,Journal,securing property rights,Securing property rights,,2021,2021-02-24,2016-09-01,University of Chicago Press,95323914.0,,,129.0,4.0,1157.0,1192.0,0,4,4,Journal of Political Economy,,,,2020-12-07,727612727.0,,4.0,Andrei Shleifer,,10970.0,andrei shleifer,Andrei Shleifer,136199984.0,589.0,344.0,183626.0,2016-06-24
17,3107566885,19219,10.1086/712733,Journal,securing property rights,Securing property rights,,2021,2021-02-24,2016-09-01,University of Chicago Press,95323914.0,,,129.0,4.0,1157.0,1192.0,0,4,4,Journal of Political Economy,,,,2020-12-07,2586485421.0,,1.0,A. Patrick Behrer,,18958.0,a patrick behrer,A. Patrick Behrer,97018004.0,8.0,7.0,34.0,2017-02-17
18,2076310383,29110,10.1086/253873,Journal,the entrepreneur function in economic literature,The Entrepreneur Function in Economic Literature,,1927,1927-08-01,,The University of Chicago Press,95323914.0,,,35.0,4.0,501.0,521.0,0,22,22,Journal of Political Economy,,,,2016-06-24,2240464798.0,,1.0,Charles A. Tuttle,,19926.0,charles a tuttle,Charles A. Tuttle,,1.0,1.0,22.0,2016-06-24
19,2514432684,30656,10.1086/257556,Journal,saudi arabia k s twitchell,Saudi Arabia. K. S. Twitchell,,1954,1954-08-01,,,95323914.0,,,62.0,4.0,360.0,360.0,0,0,0,Journal of Political Economy,,,,2016-09-16,2313088477.0,,1.0,Hedley V. Cooke,,20533.0,hedley v cooke,Hedley V. Cooke,,2.0,2.0,0.0,2016-06-24
20,3013447514,25007,,,were banknotes deposited or did deposits bear banknotes the bank of england s earliest banknotes suggest that the theory of an exogenous money supply is untenable,Were Banknotes Deposited? Or Did Deposits Bear Banknotes?::The Bank of England's Earliest Banknotes Suggest that the Theory of an Exogenous Money Supply is Untenable,,2017,2017-01-01,,The Political Economy and Economic History Society,,,,60.0,1.0,16.0,29.0,0,0,0,The Journal of Political Economy and Economic History,,,,2020-04-03,3014008697.0,,1.0,Yuichi Kanai,,21226.0,yuichi kanai,Yuichi Kanai,,1.0,1.0,0.0,2020-04-03
21,2094156342,33811,10.1086/253354,Journal,possibilities of a general survey course in finance,Possibilities of a General-Survey Course in Finance,,1921,1921-05-01,,The University of Chicago Press,95323914.0,,,29.0,5.0,368.0,394.0,0,0,0,Journal of Political Economy,,,,2016-06-24,2114491959.0,,1.0,Harold G. Moulton,,19840.0,harold g moulton,Harold G. Moulton,,4.0,4.0,0.0,2016-06-24
22,2031709247,29001,10.1086/256271,Journal,the compensatory theory of public works expenditure,The Compensatory Theory of Public Works Expenditure,,1945,1945-09-01,,The University of Chicago Press,95323914.0,,,53.0,3.0,258.0,274.0,0,2,2,Journal of Political Economy,,,,2016-06-24,2244801203.0,,1.0,Clay J. Anderson,,20189.0,clay j anderson,Clay J. Anderson,,2.0,2.0,3.0,2016-06-24
23,2039977446,30295,10.1086/255198,Journal,the early development of the note brokerage business in chicago,The Early Development of the Note-Brokerage Business in Chicago,,1938,1938-04-01,,The University of Chicago Press,95323914.0,,,46.0,2.0,202.0,217.0,0,2,2,Journal of Political Economy,,,,2016-06-24,2696834250.0,,1.0,Don M. Dailey,,20550.0,don m dailey,Don M. Dailey,,1.0,1.0,2.0,2017-06-30
24,2014046613,27126,10.1016/0176-2680(95)90015-2,Journal,neorealism and neoliberalism the contemporary debate david a baldwin ed columbia university press new york 1993 377 pp index,"Neorealism and neoliberalism: The contemporary debate: David A. Baldwin, ed., (Columbia University Press, New York, 1993) 377 pp. + index",,1995,1995-09-01,,,100134864.0,,,11.0,3.0,604.0,606.0,0,0,0,European Journal of Political Economy,,,,2016-06-24,2651153653.0,,1.0,Roy Gardner,,21226.0,roy gardner,Roy Gardner,,1.0,1.0,0.0,2017-06-30
25,1969927111,24548,10.1086/259074,Journal,profit on national bank notes 1900 1913,"Profit on National Bank Notes, 1900-1913",,1965,1965-10-01,,The University of Chicago Press,95323914.0,,,73.0,5.0,516.0,522.0,0,16,16,Journal of Political Economy,,,,2016-06-24,2070172949.0,,1.0,C. A. E. Goodhart,,13371.0,charles goodhart,Charles Goodhart,909854389.0,602.0,485.0,13116.0,2016-06-24
26,3183328618,22855,10.1590/0101-31572021-3145,,reason scientism and methodology hayek s adherence to complexity through the development of his methodological criticism in the abuse of reason project,"Reason, scientism, and methodology: Hayek’s adherence to complexity through the development of his methodological criticism in the Abuse of Reason Project",,2021,2021-07-16,2021-09-01,Centro de Economia Política,,,,41.0,3.0,507.0,524.0,15,0,0,Brazilian Journal of Political Economy,,,,2021-08-02,2196929009.0,52418104.0,2.0,Eduardo Angeli,"Departamento de Economia da Universidade Federal do Paraná – UFPR, Curitiba/PR, Brasil.",18167.0,eduardo angeli,Eduardo Angeli,52418104.0,21.0,19.0,5.0,2016-06-24
26,3183328618,22855,10.1590/0101-31572021-3145,,reason scientism and methodology hayek s adherence to complexity through the development of his methodological criticism in the abuse of reason project,"Reason, scientism, and methodology: Hayek’s adherence to complexity through the development of his methodological criticism in the Abuse of Reason Project",,2021,2021-07-16,2021-09-01,Centro de Economia Política,,,,41.0,3.0,507.0,524.0,15,0,0,Brazilian Journal of Political Economy,,,,2021-08-02,3184866304.0,150729083.0,1.0,Keanu Telles Da Costa,"Programa de Pós-Graduação em Economia da Universidade de Brasília – UNB, Brasília/DF, Brasil.",20128.0,keanu telles da costa,Keanu Telles Da Costa,150729083.0,3.0,3.0,0.0,2021-08-02
27,2510227776,30947,10.1086/254787,Journal,german monetary theory 1905 1933 howard s ellis,"German Monetary Theory, 1905-1933. Howard S. Ellis",,1935,1935-06-01,,,95323914.0,,,43.0,3.0,393.0,396.0,0,0,0,Journal of Political Economy,,,,2016-09-16,296390977.0,,1.0,Fritz Machlup,,13956.0,fritz machlup,Fritz Machlup,57206974.0,197.0,190.0,5303.0,2016-06-24
28,1973246189,22642,10.1111/J.1467-9485.1981.TB00071.X,Journal,an economic theory of household formation theory and evidence from the general household survey,An economic theory of household formation: theory and evidence from the General Household Survey,,1981,1981-02-01,2007-10-09,Blackwell Publishing Ltd,111496547.0,,,28.0,1.0,1.0,19.0,6,32,32,Scottish Journal of Political Economy,,,,2016-06-24,493463987.0,,1.0,John F. Ermisch,Policy Studies Institute,14569.0,john ermisch,John Ermisch,40120149.0,210.0,189.0,5078.0,2016-06-24
29,2066946883,23722,10.1111/J.1467-9485.1981.TB00072.X,Journal,sir james steuart author of a system,SIR JAMES STEUART: AUTHOR OF A SYSTEM,,1981,1981-02-01,2007-10-09,Blackwell Publishing Ltd,111496547.0,,,28.0,1.0,20.0,42.0,9,16,16,Scottish Journal of Political Economy,,,,2016-06-24,2151047526.0,7882870.0,1.0,A. S. Skinner,*University of Glasgow.,16118.0,andrew s skinner,Andrew S. Skinner,7882870.0,42.0,41.0,1066.0,2016-06-24
30,2061794535,25396,10.1111/J.1467-9485.1990.TB00598.X,Journal,the making of keynesian theory,THE MAKING OF KEYNESIAN THEORY,,1990,1990-11-01,,Blackwell Publishing Ltd,111496547.0,,,37.0,4.0,416.0,420.0,0,0,0,Scottish Journal of Political Economy,,,,2016-06-24,2044503097.0,195460627.0,1.0,Thomas S. Torrance,"Department of Economics , University of Aberdeen ",17829.0,thomas s torrance,Thomas S. Torrance,195460627.0,14.0,14.0,190.0,2016-06-24
31,2509694829,33768,10.1086/253546,Journal,judging human character h l hollingworth,Judging Human Character. H. L. Hollingworth,,1923,1923-08-01,,,95323914.0,,,31.0,4.0,580.0,583.0,0,0,0,Journal of Political Economy,,,,2016-09-16,1891934597.0,,1.0,Arthur W. Kornhauser,,19068.0,arthur w kornhauser,Arthur W. Kornhauser,,8.0,8.0,3.0,2016-06-24
32,2516226317,30649,10.1086/256888,Journal,our national debt its history and its meaning today committee on public debt policy,Our National Debt: Its History and Its Meaning Today. Committee on Public Debt Policy,,1949,1949-12-01,,,95323914.0,,,57.0,6.0,550.0,551.0,0,0,0,Journal of Political Economy,,,,2016-09-16,1974961038.0,,1.0,Frank W. Fetter,,16171.0,frank whitson fetter,Frank Whitson Fetter,111979921.0,77.0,77.0,494.0,2016-06-24
33,2517411526,33229,10.1086/253846,Journal,guide to the unemployment insurance acts h c emmerson e c p lascelles,"Guide to the Unemployment Insurance Acts. H. C. Emmerson , E. C. P. Lascelles",,1927,1927-04-01,,,95323914.0,,,35.0,2.0,311.0,313.0,0,0,0,Journal of Political Economy,,,,2016-09-16,2680220674.0,,1.0,N. A. Tolles,,21226.0,n a tolles,N. A. Tolles,,1.0,1.0,0.0,2017-06-30
34,2517374412,31669,10.1086/255873,Journal,the illinois segment of the nation s economy for 1935 a bookkeeping picture frank g dickinson franzy eakin,"The Illinois Segment of the Nation's Economy for 1935: A Bookkeeping Picture. Frank G. Dickinson , Franzy Eakin",,1942,1942-04-01,,,95323914.0,,,50.0,2.0,316.0,317.0,0,0,0,Journal of Political Economy,,,,2016-09-16,2320946514.0,,1.0,Ernest H. Hahne,,19617.0,ernest h hahne,Ernest H. Hahne,,5.0,5.0,0.0,2016-06-24
35,2518157201,29164,10.1086/259233,Journal,agriculture and the civil war paul w gates,Agriculture and the Civil War. Paul W. Gates,,1966,1966-12-01,,,95323914.0,,,74.0,6.0,643.0,644.0,0,0,0,Journal of Political Economy,,,,2016-09-16,2197047732.0,,1.0,George L. Anderson,,21226.0,george l anderson,George L. Anderson,,1.0,1.0,0.0,2016-06-24
36,1987904036,20744,10.1016/J.EJPOLECO.2011.06.002,Journal,in the eye of the beholder subjective inequality measures and individuals assessment of market justice,In the eye of the beholder: Subjective inequality measures and individuals' assessment of market justice,,2011,2011-12-01,2011-06-13,North-Holland,100134864.0,,,27.0,4.0,625.0,641.0,41,32,56,European Journal of Political Economy,,,,2016-06-24,2137965768.0,202697423.0,1.0,Andreas Kuhn,"Department of Economics, University of Zurich, Mühlebachstrasse 86, 8008 Zurich, Switzerland",16366.0,andreas kuhn,Andreas Kuhn,118564535.0,65.0,37.0,534.0,2016-06-24
37,2509635901,30403,10.1086/257508,Journal,preliminary report on the world social situation with special reference to standards of living,Preliminary Report on the World Social Situation: With Special Reference to Standards of Living.,,1954,1954-04-01,,,95323914.0,,,62.0,2.0,181.0,181.0,0,0,0,Journal of Political Economy,,,,2016-09-16,2649850858.0,,1.0,Wilbert E. Moore,,20533.0,wilbert e moore,Wilbert E. Moore,,2.0,2.0,0.0,2017-06-30
38,2090564500,23799,10.1086/258392,Journal,some institutional aspects of the wealth of nations,Some Institutional Aspects of the Wealth of Nations,,1960,1960-12-01,,The University of Chicago Press,95323914.0,,,68.0,6.0,557.0,570.0,0,175,312,Journal of Political Economy,,,,2016-06-24,2125563408.0,,1.0,Nathan Rosenberg,,12794.0,nathan rosenberg,Nathan Rosenberg,78715868.0,256.0,224.0,23870.0,2016-06-24
