Name,Role,Start,End,x,y,z,a,b
Daron Acemoglu,Editor,2012,2015,Massachusetts Institute of Technology
Lars Peter Hansen,Co-Editors,2012,2015,University of Chicago
Matthew O. Jackson,Co-Editors,2012,2014,Stanford University
Darrell Duffie,Associate Editors,2012,2014,Stanford University
Mikhail Golosov,Associate Editors,2012,2017,Princeton University
Patrik Guggenberger,Associate Editors,2012,2013,University of California, San Diego
Yoram Halevy,Associate Editors,2012,2014,University of British Columbia
Johannes Hörner,Associate Editors,2012,2016,Yale University
Jonathan Levin,Associate Editors,2012,2016,Stanford University
Oliver Linton,Associate Editors,2012,2014,Cambridge University
Thomas Mariotti,Associate Editors,2012,2013,Toulouse School of Economics (GREMAQ and IDEI)
David Martimort,Associate Editors,2012,2015,Paris School of Economics–EHESS
Andrew Mclennan,Associate Editors,2012,2020,University of Queensland
Ulrich Müller,Associate Editors,2012,2016,Princeton University
Michael Ostrovsky,Associate Editors,2012,2013,2015,2017,Stanford University
Mary Beth Bellando-Zaniboni,Editorial Coordinator,2012,2014,New York University
Joel Sobel,Co-Editors,2013,2015,University of California, San Diego
Elie Tamer,Co-Editors,2013,2016,Harvard University
Alberto Abadie,Associate Editors,2013,2016,Harvard University
Patrick Bayer,Associate Editors,2013,2018,Duke University
Nicholas Bloom,Associate Editors,2013,2021,Stanford University
Xavier Gabaix,Associate Editors,2013,2016,New York University
Peter Klenow,Associate Editors,2013,2018,Stanford University
Francesca Molinari,Associate Editors,2013,2019,Cornell University
Eric Renault,Associate Editors,2013,2018,Brown University
Susanne M. Schennach,Associate Editors,2013,2017,Brown University
Tao Zha,Associate Editors,2013,2015,Federal Reserve Bank of Atlanta,Emory University
Liran Einav,Co-Editors,2014,2017,Stanford University
Jaap Abbring,Associate Editors,2014,2022,Tilburg University
Michael Ostrovsky,Associate Editors,2014,2014,Stanford University,Google
Parag Pathak,Associate Editors,2014,2016,Massachusetts Institute of Technology
Giorgio Primiceri,Associate Editors,2014,2017,Northwestern University
Andres Santos,Associate Editors,2014,2017,University of California, San Diego
Patrik Guggenberger,Associate Editors,2014,2014,Pennsylvania State University
Neil Shephard,Associate Editors,2014,2020,Harvard University
Christopher Taber,Associate Editors,2014,2019,University of Wisconsin–Madison
Edward J. Vytlacil,Associate Editors,2014,2015,New York University
Bas J. M. Werker,Associate Editors,2014,2022,Tilburg University
Thomas Mariotti,Associate Editors,2014,2017,Toulouse School of Economics
Dirk Bergemann,Co-Editors,2015,2018,Yale University
Itzhak Gilboa,Co-Editors,2015,2018,HEC Paris,Tel Aviv University
Manuel Amador,Associate Editors,2015,2017,Federal Reserve Bank of Minneapolis
Francis Bloch,Associate Editors,2015,2020,University Paris 1,Paris School of Economics
Pascaline Dupas,Associate Editors,2015,2020,Stanford University
Azeem M. Shaikh,Associate Editors,2015,2020,University of Chicago
Pierre-Olivier Weill,Associate Editors,2015,2018,University of California, Los Angeles
Oliver Linton,Associate Editors,2015,2015,University of Cambridge
Massimo Marinacci,Associate Editors,2015,2020,Università Bocconi
Mary Beth Bellando-Zaniboni,Publications Manager,2015,2017,New York University
Joel Sobel,Editor,2016,2019,University of California, San Diego
Giovanni L. Violante,Co-Editors,2016,2019,Princeton University
Fabrizio Zilibotti,Co-Editors,2016,2019,Yale University
Sujoy Mukerji,Associate Editors,2016,2016,Queen Mary University at London
Marco Battaglini,Associate Editors,2016,2017,Cornell University
Serena Ng,Associate Editors,2016,2021,Columbia University
Marzena Rostek,Associate Editors,2016,2023,University of Wisconsin–Madison
Guillaume Fréchette,Associate Editors,2016,2023,New York University
Ilya R. Segal,Associate Editors,2016,2021,Stanford University
Shakeeb Khan,Associate Editors,2016,2017,Duke University
Hanno Lustig,Associate Editors,2016,2021,Stanford University
Ulrich K. Müller,Co-Editors,2017,2020,Princeton University
Alberto Abadie,Associate Editors,2017,2020,Massachusetts Institute of Technology
Sujoy Mukerji,Associate Editors,2017,2019,Queen Mary University of London
Elias Papaioannou,Associate Editors,2017,2022,London Business School
Stephen Redding,Associate Editors,2017,2019,Princeton University
Eric Budish,Associate Editors,2017,2021,University of Chicago
Federico Echenique,Associate Editors,2017,2019,California Institute of Technology
Xavier Gabaix,Associate Editors,2017,2023,Harvard University
Tayfun Sönmez,Associate Editors,2017,2019,Boston College
Keisuke Hirano,Associate Editors,2017,2017,Pennsylvania State University
Viktor Todorov,Associate Editors,2017,2022,Northwestern University
Nicolas Vieille,Associate Editors,2017,2022,HEC Paris
Leeat Yariv,Associate Editors,2017,2017,California Institute of Technology
Aviv Nevo,Co-Editors,2018,2021,The Perelman Center for Political Science and Economics
Shakeeb Khan,Associate Editors,2018,2018,Boston College
Treb Allen,Associate Editors,2018,2023,Dartmouth College
Manuel Amador,Associate Editors,2018,2020,Federal Reserve Bank of Minneapolis,University of Minnesota
Andres Aradillas-Lopez,Associate Editors,2018,2020,The Pennsylvania State University
Ernesto Dal Bó,Associate Editors,2018,2019,University of California at Berkeley
Andres Santos,Associate Editors,2018,2022,University of California, Los Angeles
Jesús Fernández-Villaverde,Associate Editors,2018,2023,University of Pennsylvania
Amanda Friedenberg,Associate Editors,2018,2018,Arizona State University
Mikhail Golosov,Associate Editors,2018,2018,University of Chicago
Rakesh Vohra,Associate Editors,2018,2023,University of Pennsylvania
Marina Halac,Associate Editors,2018,2018,Columbia University
Keisuke Hirano,Associate Editors,2018,2019,The Pennsylvania State University,ISER
Leeat Yariv,Associate Editors,2018,2020,Princeton University
Mary Beth Bellando-Zaniboni,Publications Manager,2018,2021,Yale University
Barton L. Lipman,Co-Editors,2019,2023,Boston University
Alessandro Lizzeri,Co-Editors,2019,2022,Princeton University
Jia Li,Associate Editors,2019,2021,Duke University
Andriy Norets,Associate Editors,2019,2023,Brown University
Todd Sarver,Associate Editors,2019,2021,Duke University
Zheng Michael Song,Associate Editors,2019,2023,The Chinese University of Hong Kong
Amanda Friedenberg,Associate Editors,2019,2022,University of Arizona
Marina Halac,Associate Editors,2019,2020,Yale University
Aleh Tsyvinski,Associate Editors,2019,2023,Yale University
Stefan Hoderlein,Associate Editors,2019,2019,Boston College
Pierre-Olivier Weill,Associate Editors,2019,2019,University of California, Berkeley
Michael Jansson,Associate Editors,2019,2019,University of California, Los Angeles
Patrick Kline,Associate Editors,2019,2023,University of California, Berkeley
Guido W. Imbens,Editor,2020,2023,Stanford University
Dave Donaldson,Co-Editors,2020,2023,Massachusetts Institute of Technology
Charles I. Jones,Co-Editors,2020,2023,Stanford University
Asher Wolinsky,Co-Editors,2020,2023,Northwestern University
Stefan Hoderlein,Associate Editors,2020,2021,Amazon
Jakub Kastl,Associate Editors,2020,2023,Princeton University
Marco Bassetto,Associate Editors,2020,2023,Federal Reserve Bank of Minneapolis
Lorenzo Caliendo,Associate Editors,2020,2023,Yale University
Matias D. Cattaneo,Associate Editors,2020,2023,Princeton University
Denis Chetverikov,Associate Editors,2020,2023,University of California, Los Angeles
Ernesto Dal Bó,Associate Editors,2020,2023,University of California, Berkeley
Melissa Dell,Associate Editors,2020,2021,Harvard University
Tomasz Strzalecki,Associate Editors,2020,2023,Harvard University
Rebecca Diamond,Associate Editors,2020,2023,Stanford University
Benjamin Faber,Associate Editors,2020,2023,University of California, Berkeley
Pierre-Olivier Weill,Associate Editors,2020,2020,University of California,Los Angeles
Matthew J. Wiswall,Associate Editors,2020,2023,University of Wisconsin–Madison
Alexander Wolitzky,Associate Editors,2020,2022,Massachusetts Institute of Technology
Keisuke Hirano,Associate Editors,2020,2022,The Pennsylvania State University
Oriana Bandiera,Co-Editors,2021,2023,London School of Economics and Political Science
Loukas Karabarbounis,Associate Editors,2021,2023,University of Minnesota
Alberto Abadie,Associate Editors,2021,2021,Massachusetts Institute ofTechnology
David Ahn,Associate Editors,2021,2023,Washington University in St. Louis
Eliana La Ferrara,Associate Editors,2021,2023,Università Bocconi
Isaiah Andrews,Associate Editors,2021,2021,Harvard University
Stephan Lauermann,Associate Editors,2021,2023,Universität Bonn
Eduardo Azevedo,Associate Editors,2021,2023,University of Pennsylvania
Nour Meddahi,Associate Editors,2021,2023,Toulouse School of Economics
Moritz Meyer-Ter-Vehn,Associate Editors,2021,2023,University of California, Los Angeles
Anna Mikusheva,Associate Editors,2021,2023,Massachusetts Institute of Technology
Chris Edmond,Associate Editors,2021,2023,University of Melbourne
Johannes Stroebel,Associate Editors,2021,2023,New York University
Claudio Ferraz,Associate Editors,2021,2023,University of British Columbia,Pontifícia Universidade Católica do Rio
Bruno Strulovici,Associate Editors,2021,2023,Northwestern University
Rachel Griffith,Associate Editors,2021,2023,University of Manchester
Kate Ho,Associate Editors,2021,2021,Princeton University
Danny Yagan,Associate Editors,2021,2022,University of California, Berkeley
Kate Ho,Co-Editors,2022,2023,Princeton University
Ivana Komunjer,Associate Editors,2022,2023,Georgetown University
Marina Agranov,Associate Editors,2022,2023,California Institute of Technology
Jia Li,Associate Editors,2022,2023,Singapore Management University
Qingmin Liu,Associate Editors,2022,2023,Columbia University
Gabriel Carroll,Associate Editors,2022,2023,University of Toronto
Benjamin Moll,Associate Editors,2022,2023,London School of Economics
Jan De Loecker,Associate Editors,2022,2023,KU Leuven
David Dillenberger,Associate Editors,2022,2023,University of Pennsylvania
John Van Reenen,Associate Editors,2022,2023,London School of Economics
Laura Veldkamp,Associate Editors,2022,2023,Columbia University
Stefan Hoderlein,Associate Editors,2022,2022,Emory University,Amazon
Ali Yurukoglu,Associate Editors,2022,2023,Stanford University
Mary Beth Bellando-Zaniboni Yale University,Publications Manager,2022,2022,
Mary Beth Bellando-Zaniboni,Managing Editor,2023,2023,Yale University
Marina Halac,Co-Editors,2023,2023,Yale University
Elena Manresa,Associate Editors,2023,2023,New York University
Katherine Casey,Associate Editors,2023,2023,Stanford University
Eran Shmaya,Associate Editors,2023,2023,Stony Brook University
Matthew Elliott,Associate Editors,2023,2023,Cambridge University
Jón Steinsson,Associate Editors,2023,2023,University of California, Berkeley
Vasilis Syrgkanis,Associate Editors,2023,2023,Stanford University
Amanda Friedenberg,Associate Editors,2023,2023,University of Michigan
Frank Verboven,Associate Editors,2023,2023,KU Leuven
David Yanagizawa-Drott,Associate Editors,2023,2023,University of Zürich
Michal Kolesár,Associate Editors,2023,2023,Princeton University
