Name,Role,Affiliation,Start,End,NStart,NEnd
David Ahn,Associate Editors,Washington University in St. Louis,2021,2023
Eliana La Ferrara,Associate Editors,Università Bocconi,2021,2023
Isaiah Andrews,Associate Editors,Harvard University,2021,2021
Stephan Lauermann,Associate Editors,Universität Bonn,2021,2023
Eduardo Azevedo,Associate Editors,University of Pennsylvania,2021,2023
Nour Meddahi,Associate Editors,Toulouse School of Economics,2021,2023
Moritz Meyer-Ter-Vehn,Associate Editors,University of California, Los Angeles,2021,2023
Anna Mikusheva,Associate Editors,Massachusetts Institute of Technology,2021,2023
Chris Edmond,Associate Editors,University of Melbourne,2021,2023
Johannes Stroebel,Associate Editors,New York University,2021,2023
Claudio Ferraz,Associate Editors,University of British Columbia,Pontifícia Universidade Católica do Rio,2021,2023
Bruno Strulovici,Associate Editors,Northwestern University,2021,2023
Rachel Griffith,Associate Editors,University of Manchester,2021,2023
Kate Ho,Associate Editors,Princeton University,2021,2021
Danny Yagan,Associate Editors,University of California, Berkeley,2021,2022
Kate Ho,Co-Editors,Princeton University,2022,2023
Ivana Komunjer,Associate Editors,Georgetown University,2022,2023
Marina Agranov,Associate Editors,California Institute of Technology,2022,2023
Jia Li,Associate Editors,Singapore Management University,2022,2023
Qingmin Liu,Associate Editors,Columbia University,2022,2023
Gabriel Carroll,Associate Editors,University of Toronto,2022,2023
Benjamin Moll,Associate Editors,London School of Economics,2022,2023
Jan De Loecker,Associate Editors,KU Leuven,2022,2023
David Dillenberger,Associate Editors,University of Pennsylvania,2022,2023
John Van Reenen,Associate Editors,London School of Economics,2022,2023
Laura Veldkamp,Associate Editors,Columbia University,2022,2023
Stefan Hoderlein,Associate Editors,Emory University,Amazon,2022,2022
Ali Yurukoglu,Associate Editors,Stanford University,2022,2023
Mary Beth Bellando-Zaniboni Yale University,Publications Manager,,2022,2022
Mary Beth Bellando-Zaniboni,Managing Editor,Yale University,2023,2023
Marina Halac,Co-Editors,Yale University,2023,2023
Elena Manresa,Associate Editors,New York University,2023,2023
Katherine Casey,Associate Editors,Stanford University,2023,2023
Eran Shmaya,Associate Editors,Stony Brook University,2023,2023
Matthew Elliott,Associate Editors,Cambridge University,2023,2023
Jón Steinsson,Associate Editors,University of California, Berkeley,2023,2023
Vasilis Syrgkanis,Associate Editors,Stanford University,2023,2023
Amanda Friedenberg,Associate Editors,University of Michigan,2023,2023
Frank Verboven,Associate Editors,KU Leuven,2023,2023
David Yanagizawa-Drott,Associate Editors,University of Zürich,2023,2023
Michal Kolesár,Associate Editors,Princeton University,2023,2023
